,ce,cer,colormode,font,language,ptsize,we,wer
111,136,0.11030008110300081,BW,museosans-r,ces,16,114,0.59375
112,137,0.10770440251572327,BW,museosans-r,ces,18,80,0.41450777202072536
113,89,0.07218167072181671,BW,museosans-r,ces,20,67,0.3489583333333333
114,9,0.007293354943273906,BW,museosans-r,ces,22,8,0.041666666666666664
115,16,0.012976480129764802,BW,museosans-r,ces,24,19,0.09895833333333333
116,10,0.008110300081103,BW,museosans-r,ces,26,10,0.052083333333333336
117,103,0.08353609083536091,BW,gillsans-r,ces,10,190,0.9895833333333334
118,228,0.18491484184914841,BW,gillsans-r,ces,12,190,0.9895833333333334
119,114,0.09245742092457421,BW,gillsans-r,ces,14,154,0.8020833333333334
120,155,0.12570965125709652,BW,gillsans-r,ces,16,143,0.7447916666666666
121,187,0.1504424778761062,BW,gillsans-r,ces,18,138,0.711340206185567
122,147,0.11902834008097166,BW,gillsans-r,ces,20,81,0.421875
123,72,0.05825242718446602,BW,gillsans-r,ces,22,53,0.2760416666666667
124,13,0.010517799352750809,BW,gillsans-r,ces,24,11,0.05699481865284974
125,20,0.016220600162206,BW,gillsans-r,ces,26,20,0.10416666666666667
